Action,Time,Date
Sleep Alert,11:15:11,19/09/2020
Sleep Alert,11:15:30,19/09/2020
Sleep Alert,11:16:18,19/09/2020
Sleep Alert,11:16:24,19/09/2020
Yawning,11:18:47,19/09/2020
Yawning,11:18:47,19/09/2020
Yawning,11:18:48,19/09/2020
Yawning,11:18:50,19/09/2020
Yawning,11:18:55,19/09/2020
Yawning,11:18:56,19/09/2020
Yawning,11:18:56,19/09/2020
Yawning,11:18:56,19/09/2020
Sleep Alert,11:21:24,19/09/2020
Yawning,11:21:29,19/09/2020
Yawning,11:21:29,19/09/2020
Yawning,11:21:29,19/09/2020
Yawning,11:21:29,19/09/2020
Yawning,11:21:29,19/09/2020
Yawning,11:21:29,19/09/2020
Yawning,11:21:30,19/09/2020
Yawning,11:21:30,19/09/2020
Sleep Alert,16:13:44,21/09/2020
Yawning,16:21:57,21/09/2020
Yawning,16:21:58,21/09/2020
Yawning,16:21:59,21/09/2020
Yawning,16:22:00,21/09/2020
Yawning,16:22:00,21/09/2020
Yawning,16:22:01,21/09/2020
Yawning,16:22:02,21/09/2020
Yawning,16:22:02,21/09/2020
Yawning,16:22:03,21/09/2020
Yawning,16:22:03,21/09/2020
Yawning,16:22:04,21/09/2020
Yawning,16:22:05,21/09/2020
Yawning,16:22:05,21/09/2020
Yawning,16:22:06,21/09/2020
Yawning,16:22:07,21/09/2020
Yawning,16:22:07,21/09/2020
Yawning,16:22:08,21/09/2020
Yawning,16:22:09,21/09/2020
Yawning,16:22:09,21/09/2020
Sleep Alert,16:22:12,21/09/2020
Yawning,16:22:27,21/09/2020
Yawning,16:22:27,21/09/2020
Yawning,16:22:28,21/09/2020
Yawning,16:22:29,21/09/2020
Yawning,16:22:29,21/09/2020
Yawning,16:22:30,21/09/2020
Yawning,16:22:33,21/09/2020
Yawning,16:22:33,21/09/2020
Yawning,16:22:39,21/09/2020
Yawning,16:22:41,21/09/2020
Yawning,16:22:41,21/09/2020
Yawning,16:22:42,21/09/2020
Yawning,16:22:43,21/09/2020
Sleep Alert,16:22:45,21/09/2020
Facing down,16:29:05,21/09/2020
Facing up,16:29:05,21/09/2020
Facing up,16:29:06,21/09/2020
Facing up,16:29:07,21/09/2020
Facing down,16:29:07,21/09/2020
Facing down,16:29:08,21/09/2020
Facing down,16:29:09,21/09/2020
Facing down,16:29:09,21/09/2020
Facing down,16:29:10,21/09/2020
Facing up,16:29:11,21/09/2020
Facing down,16:29:11,21/09/2020
Facing down,16:29:12,21/09/2020
Facing up,16:29:13,21/09/2020
Facing down,16:29:14,21/09/2020
Facing up,16:29:16,21/09/2020
Facing up,16:29:18,21/09/2020
Facing up,16:29:18,21/09/2020
Facing up,16:29:20,21/09/2020
Facing up,16:29:20,21/09/2020
Facing down,16:29:22,21/09/2020
Turned Right,16:29:28,21/09/2020
Turned Right,16:29:30,21/09/2020
Facing down,16:29:30,21/09/2020
Turned Right,16:29:30,21/09/2020
Facing down,16:29:30,21/09/2020
Turned Right,16:29:31,21/09/2020
Turned Right,16:29:32,21/09/2020
Facing down,16:29:32,21/09/2020
Turned Right,16:29:32,21/09/2020
Facing down,16:29:32,21/09/2020
Turned Right,16:29:33,21/09/2020
Turned Right,16:29:34,21/09/2020
Turned Right,16:29:34,21/09/2020
Turned Right,16:29:35,21/09/2020
Turned Right,16:29:36,21/09/2020
Facing down,16:29:36,21/09/2020
Turned Right,16:29:36,21/09/2020
Turned Right,16:29:37,21/09/2020
Facing down,16:29:37,21/09/2020
Turned Right,16:29:38,21/09/2020
Turned Right,16:29:38,21/09/2020
Facing down,16:29:38,21/09/2020
Turned Right,16:29:39,21/09/2020
Facing down,16:29:39,21/09/2020
Facing down,16:29:39,21/09/2020
Facing down,16:29:40,21/09/2020
Facing up,16:29:41,21/09/2020
Facing up,16:29:41,21/09/2020
Facing up,16:29:42,21/09/2020
Facing up,16:29:43,21/09/2020
Facing up,16:29:43,21/09/2020
Facing up,16:29:44,21/09/2020
Facing up,16:29:45,21/09/2020
Facing down,16:29:46,21/09/2020
Facing down,16:29:47,21/09/2020
Facing down,16:29:48,21/09/2020
Facing down,16:29:49,21/09/2020
Facing up,16:29:49,21/09/2020
Facing up,16:29:50,21/09/2020
Facing up,16:29:51,21/09/2020
Facing up,16:29:53,21/09/2020
Facing up,16:29:58,21/09/2020
Facing down,18:08:45,22/09/2020
Facing up,18:08:46,22/09/2020
Facing up,18:08:47,22/09/2020
Facing up,18:08:47,22/09/2020
Facing down,18:08:48,22/09/2020
Facing down,18:08:49,22/09/2020
Facing down,18:08:49,22/09/2020
Facing down,18:08:50,22/09/2020
Facing down,18:08:51,22/09/2020
Facing up,18:08:52,22/09/2020
Facing down,18:08:52,22/09/2020
Facing down,18:08:53,22/09/2020
Facing up,18:08:54,22/09/2020
Facing down,18:08:55,22/09/2020
Facing up,18:08:57,22/09/2020
Facing up,18:08:58,22/09/2020
Facing up,18:08:59,22/09/2020
Facing up,18:09:00,22/09/2020
Facing up,18:09:01,22/09/2020
Facing down,18:09:02,22/09/2020
Turned Right,18:09:09,22/09/2020
Turned Right,18:09:10,22/09/2020
Facing down,18:09:10,22/09/2020
Turned Right,18:09:11,22/09/2020
Facing down,18:09:11,22/09/2020
Turned Right,18:09:11,22/09/2020
Turned Right,18:09:12,22/09/2020
Facing down,18:09:12,22/09/2020
Turned Right,18:09:13,22/09/2020
Facing down,18:09:13,22/09/2020
Turned Right,18:09:13,22/09/2020
Turned Right,18:09:14,22/09/2020
Turned Right,18:09:15,22/09/2020
Turned Right,18:09:15,22/09/2020
Turned Right,18:09:16,22/09/2020
Facing down,18:09:16,22/09/2020
Turned Right,18:09:17,22/09/2020
Turned Right,18:09:17,22/09/2020
Facing down,18:09:17,22/09/2020
